Filebench Version 1.5-alpha3
0.000: Allocated 173MB of shared memory
0.003: Populating and pre-allocating filesets
0.003: bigfileset populated: 32 files, avg. dir. width = 32, avg. dir. depth = 1.0, 0 leafdirs, 65536.000MB total size
0.003: Removing bigfileset tree (if exists)
0.006: Pre-allocating directories in bigfileset tree
0.007: Pre-allocating files in bigfileset tree
0.007: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
0.007: Population and pre-allocation of filesets completed
0.144: Attempting to create fileset more than once, ignoring
0.144: Starting 1 filesequentialwrite instances
1.152: Running...
11.154: Per-Operation Breakdown
finish               32ops        3ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.001ms]
close32              1ops        0ops/s   0.0mb/s    0.003ms/op [0.003ms - 0.003ms]
write-file32         491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 1.008ms]
create32             1ops        0ops/s   0.0mb/s    0.156ms/op [0.156ms - 0.156ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close31              1ops        0ops/s   0.0mb/s    0.005ms/op [0.005ms - 0.005ms]
write-file31         491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 0.458ms]
create31             1ops        0ops/s   0.0mb/s    0.212ms/op [0.212ms - 0.212ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close30              1ops        0ops/s   0.0mb/s    0.007ms/op [0.007ms - 0.007ms]
write-file30         491520ops    49149ops/s 192.0mb/s    0.012ms/op [0.002ms - 1.636ms]
create30             1ops        0ops/s   0.0mb/s    0.179ms/op [0.179ms - 0.179ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close29              1ops        0ops/s   0.0mb/s    0.008ms/op [0.008ms - 0.008ms]
write-file29         491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 0.140ms]
create29             1ops        0ops/s   0.0mb/s    0.132ms/op [0.132ms - 0.132ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close28              1ops        0ops/s   0.0mb/s    0.005ms/op [0.005ms - 0.005ms]
write-file28         491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 0.156ms]
create28             1ops        0ops/s   0.0mb/s    0.166ms/op [0.166ms - 0.166ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close27              1ops        0ops/s   0.0mb/s    0.006ms/op [0.006ms - 0.006ms]
write-file27         491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 1.764ms]
create27             1ops        0ops/s   0.0mb/s    3.093ms/op [3.093ms - 3.093ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close26              1ops        0ops/s   0.0mb/s    0.006ms/op [0.006ms - 0.006ms]
write-file26         491520ops    49149ops/s 192.0mb/s    0.012ms/op [0.002ms - 1.877ms]
create26             1ops        0ops/s   0.0mb/s    2.690ms/op [2.690ms - 2.690ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close25              1ops        0ops/s   0.0mb/s    0.006ms/op [0.006ms - 0.006ms]
write-file25         491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 0.801ms]
create25             1ops        0ops/s   0.0mb/s    0.326ms/op [0.326ms - 0.326ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close24              1ops        0ops/s   0.0mb/s    0.007ms/op [0.007ms - 0.007ms]
write-file24         491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 0.161ms]
create24             1ops        0ops/s   0.0mb/s    0.458ms/op [0.458ms - 0.458ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close23              1ops        0ops/s   0.0mb/s    0.007ms/op [0.007ms - 0.007ms]
write-file23         491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 0.147ms]
create23             1ops        0ops/s   0.0mb/s    1.940ms/op [1.940ms - 1.940ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close22              1ops        0ops/s   0.0mb/s    0.002ms/op [0.002ms - 0.002ms]
write-file22         491520ops    49149ops/s 192.0mb/s    0.012ms/op [0.002ms - 0.172ms]
create22             1ops        0ops/s   0.0mb/s    0.295ms/op [0.295ms - 0.295ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close21              1ops        0ops/s   0.0mb/s    0.007ms/op [0.007ms - 0.007ms]
write-file21         491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 1.906ms]
create21             1ops        0ops/s   0.0mb/s    1.168ms/op [1.168ms - 1.168ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close20              1ops        0ops/s   0.0mb/s    0.006ms/op [0.006ms - 0.006ms]
write-file20         491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 1.799ms]
create20             1ops        0ops/s   0.0mb/s    0.242ms/op [0.242ms - 0.242ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close19              1ops        0ops/s   0.0mb/s    0.008ms/op [0.008ms - 0.008ms]
write-file19         491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 1.333ms]
create19             1ops        0ops/s   0.0mb/s    2.536ms/op [2.536ms - 2.536ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close18              1ops        0ops/s   0.0mb/s    0.023ms/op [0.023ms - 0.023ms]
write-file18         491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 1.839ms]
create18             1ops        0ops/s   0.0mb/s    0.935ms/op [0.935ms - 0.935ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close17              1ops        0ops/s   0.0mb/s    0.004ms/op [0.004ms - 0.004ms]
write-file17         491520ops    49149ops/s 192.0mb/s    0.012ms/op [0.002ms - 0.169ms]
create17             1ops        0ops/s   0.0mb/s    0.057ms/op [0.057ms - 0.057ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close16              1ops        0ops/s   0.0mb/s    0.003ms/op [0.003ms - 0.003ms]
write-file16         491520ops    49149ops/s 192.0mb/s    0.012ms/op [0.002ms - 1.735ms]
create16             1ops        0ops/s   0.0mb/s    1.303ms/op [1.303ms - 1.303ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close15              1ops        0ops/s   0.0mb/s    0.006ms/op [0.006ms - 0.006ms]
write-file15         491520ops    49149ops/s 192.0mb/s    0.012ms/op [0.002ms - 1.651ms]
create15             1ops        0ops/s   0.0mb/s    0.501ms/op [0.501ms - 0.501ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close14              1ops        0ops/s   0.0mb/s    0.002ms/op [0.002ms - 0.002ms]
write-file14         491520ops    49149ops/s 192.0mb/s    0.012ms/op [0.003ms - 0.214ms]
create14             1ops        0ops/s   0.0mb/s    1.233ms/op [1.233ms - 1.233ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close13              1ops        0ops/s   0.0mb/s    0.005ms/op [0.005ms - 0.005ms]
write-file13         491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 1.252ms]
create13             1ops        0ops/s   0.0mb/s    0.280ms/op [0.280ms - 0.280ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close12              1ops        0ops/s   0.0mb/s    0.007ms/op [0.007ms - 0.007ms]
write-file12         491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.003ms - 0.271ms]
create12             1ops        0ops/s   0.0mb/s    0.275ms/op [0.275ms - 0.275ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close11              1ops        0ops/s   0.0mb/s    0.007ms/op [0.007ms - 0.007ms]
write-file11         491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 0.379ms]
create11             1ops        0ops/s   0.0mb/s    0.178ms/op [0.178ms - 0.178ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close10              1ops        0ops/s   0.0mb/s    0.003ms/op [0.003ms - 0.003ms]
write-file10         491520ops    49149ops/s 192.0mb/s    0.012ms/op [0.002ms - 1.849ms]
create10             1ops        0ops/s   0.0mb/s    0.059ms/op [0.059ms - 0.059ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close9               1ops        0ops/s   0.0mb/s    0.006ms/op [0.006ms - 0.006ms]
write-file9          491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 0.145ms]
create9              1ops        0ops/s   0.0mb/s    0.416ms/op [0.416ms - 0.416ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close8               1ops        0ops/s   0.0mb/s    0.003ms/op [0.003ms - 0.003ms]
write-file8          491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 0.290ms]
create8              1ops        0ops/s   0.0mb/s    0.376ms/op [0.376ms - 0.376ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close7               1ops        0ops/s   0.0mb/s    0.007ms/op [0.007ms - 0.007ms]
write-file7          491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 0.195ms]
create7              1ops        0ops/s   0.0mb/s    0.053ms/op [0.053ms - 0.053ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close6               1ops        0ops/s   0.0mb/s    0.004ms/op [0.004ms - 0.004ms]
write-file6          491520ops    49149ops/s 192.0mb/s    0.012ms/op [0.002ms - 0.938ms]
create6              1ops        0ops/s   0.0mb/s    1.484ms/op [1.484ms - 1.484ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close5               1ops        0ops/s   0.0mb/s    0.007ms/op [0.007ms - 0.007ms]
write-file5          491520ops    49149ops/s 192.0mb/s    0.012ms/op [0.002ms - 0.113ms]
create5              1ops        0ops/s   0.0mb/s    1.962ms/op [1.962ms - 1.962ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close4               1ops        0ops/s   0.0mb/s    0.006ms/op [0.006ms - 0.006ms]
write-file4          491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 1.669ms]
create4              1ops        0ops/s   0.0mb/s    0.422ms/op [0.422ms - 0.422ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close3               1ops        0ops/s   0.0mb/s    0.009ms/op [0.009ms - 0.009ms]
write-file3          491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 0.723ms]
create3              1ops        0ops/s   0.0mb/s    2.092ms/op [2.092ms - 2.092ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close2               1ops        0ops/s   0.0mb/s    0.010ms/op [0.010ms - 0.010ms]
write-file2          491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 2.242ms]
create2              1ops        0ops/s   0.0mb/s    2.466ms/op [2.466ms - 2.466ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close1               1ops        0ops/s   0.0mb/s    0.002ms/op [0.002ms - 0.002ms]
write-file1          491520ops    49149ops/s 192.0mb/s    0.011ms/op [0.002ms - 3.109ms]
create1              1ops        0ops/s   0.0mb/s    2.392ms/op [2.392ms - 2.392ms]
11.155: IO Summary: 15728704 ops 1572766.283 ops/s 0/1572760 rd/wr 6143.6mb/s 0.011ms/op
12.155: Run took 11 seconds...
12.156: Per-Operation Breakdown
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
close32              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file32         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create32             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close31              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file31         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create31             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close30              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file30         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create30             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close29              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file29         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create29             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close28              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file28         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create28             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close27              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file27         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create27             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close26              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file26         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create26             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close25              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file25         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create25             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close24              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file24         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create24             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close23              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file23         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create23             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close22              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file22         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create22             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close21              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file21         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create21             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
